SCTG2,Year,Millions Of Dollars,Millions Of Dollars Growth
Fuel oils,2015,7220.227539,0.238444653
Fuel oils,2020,7121.05127,-1.373589253
Fuel oils,2025,6820.505859,-4.22052024
Fuel oils,2030,6372.17334,-6.573303048
Fuel oils,2035,6049.089355,-5.070232198
Fuel oils,2040,5666.044922,-6.332266083
Fuel oils,2045,5278.236816,-6.844423417
Coal-n.e.c.,2012,8434.646484,0
Coal-n.e.c.,2013,8852.932617,4.959142432
Coal-n.e.c.,2014,9352.675781,5.644944852
Coal-n.e.c.,2015,9430.536133,0.83249279
Coal-n.e.c.,2020,10659.15137,13.02805288
Coal-n.e.c.,2025,11914.27539,11.77508396
Coal-n.e.c.,2030,12962.64453,8.799268997
Coal-n.e.c.,2035,14213.54199,9.650017463
Coal-n.e.c.,2040,15137.19043,6.498369217
Coal-n.e.c.,2045,16171.14551,6.830561344
Basic chemicals,2012,6640.195313,0
Basic chemicals,2013,6725.647949,1.286899446
Basic chemicals,2014,6732.026367,0.094837226
Basic chemicals,2015,6919.992188,2.792113549
Basic chemicals,2020,8308.389648,20.06356977
Basic chemicals,2025,9227.551758,11.06305973
Basic chemicals,2030,9842.84668,6.668019189
Basic chemicals,2035,10272.71777,4.367345218
Basic chemicals,2040,10760.0127,4.743583272
Basic chemicals,2045,11400.93848,5.956552277
Pharmaceuticals,2012,15289.68848,0
Pharmaceuticals,2013,14864.41113,-2.781465066
Pharmaceuticals,2014,15551.99219,4.62568647
Pharmaceuticals,2015,16281.34668,4.689781755
Pharmaceuticals,2020,18156.95508,11.51998318
Pharmaceuticals,2025,20514.76953,12.98573711
Pharmaceuticals,2030,23518.91406,14.64381321
Pharmaceuticals,2035,26730.76172,13.65644539
Pharmaceuticals,2040,30067.97266,12.48453363
Pharmaceuticals,2045,34519.625,14.80529597
Fertilizers,2012,1091.673706,0
Fertilizers,2013,1319.79248,20.89624154
Fertilizers,2014,1292.946045,-2.034140666
Fertilizers,2015,1300.528198,0.586424573
Fertilizers,2020,1679.663208,29.15238672
Fertilizers,2025,1807.503296,7.61105484
Fertilizers,2030,1874.662354,3.71557041
Fertilizers,2035,1930.414551,2.973986071
Fertilizers,2040,1999.564453,3.582127078
Fertilizers,2045,2074.750244,3.760108403
Chemical prods.,2012,6962.515137,0
Chemical prods.,2013,7627.094727,9.545108008
Chemical prods.,2014,7878.236328,3.292755768
Chemical prods.,2015,8090.577637,2.695289907
Chemical prods.,2020,9610.892578,18.79117919
Chemical prods.,2025,10593.02539,10.21895526
Chemical prods.,2030,11429.29297,7.894511221
Chemical prods.,2035,12156.23926,6.360378468
Chemical prods.,2040,12639.20508,3.972987123
Chemical prods.,2045,13725.23145,8.592521131
Plastics/rubber,2012,12733.22266,0
Plastics/rubber,2013,12656.19336,-0.60494738
Plastics/rubber,2014,13457.3877,6.330452713
Plastics/rubber,2015,13521.80078,0.478644796
Plastics/rubber,2020,15357.33887,13.57465707
Plastics/rubber,2025,15982.92871,4.073556292
Plastics/rubber,2030,16525.62695,3.395486847
Plastics/rubber,2035,16859.12109,2.01804229
Plastics/rubber,2040,17085.00781,1.339848723
Plastics/rubber,2045,17654.80469,3.335069444
Logs,2012,240.4540863,0
Logs,2013,240.5639038,0.045670883
Logs,2014,228.938797,-4.832440207
Logs,2015,242.9927979,6.138758934
Logs,2020,290.1665955,19.41366083
Logs,2025,322.2106018,11.04331334
Logs,2030,348.1591797,8.053297357
Logs,2035,378.7303162,8.780792884
Logs,2040,402.0238953,6.150439536
Logs,2045,418.1234131,4.004617141
Wood prods.,2012,3784.296143,0
Wood prods.,2013,4214.563477,11.36981139
Wood prods.,2014,4393.756836,4.251765583
Wood prods.,2015,4389.106934,-0.105829761
Wood prods.,2020,5099.114258,16.1765784
Wood prods.,2025,5323.498047,4.400446386
Wood prods.,2030,5546.956543,4.197587641
Wood prods.,2035,5449.510254,-1.756752344
Wood prods.,2040,5348.73584,-1.849237993
Wood prods.,2045,5270.488281,-1.462916864
Newsprint/paper,2012,3339.900146,0
Newsprint/paper,2013,3025.950684,-9.399965542
Newsprint/paper,2014,2729.407715,-9.799993449
Newsprint/paper,2015,2722.82666,-0.241116586
Newsprint/paper,2020,2744.806641,0.807248614
Newsprint/paper,2025,2741.494873,-0.12065577
Newsprint/paper,2030,2755.252197,0.501818346
Newsprint/paper,2035,2884.414795,4.68786842
Newsprint/paper,2040,2883.048096,-0.047382201
Newsprint/paper,2045,3033.148438,5.206307242
Paper articles,2012,2747.021484,0
Paper articles,2013,2802.405518,2.016148527
Paper articles,2014,2788.634766,-0.49139041
Paper articles,2015,2773.897217,-0.528486161
Paper articles,2020,2924.084717,5.414313807
Paper articles,2025,3129.623291,7.029159348
Paper articles,2030,3374.530762,7.825461659
Paper articles,2035,3630.11499,7.573919059
Paper articles,2040,3887.505615,7.090426218
Paper articles,2045,4148.134766,6.704277143
Printed prods.,2012,4084.560059,0
Printed prods.,2013,4117.550781,0.807693416
Printed prods.,2014,4026.209717,-2.218334862
Printed prods.,2015,3835.689697,-4.73199443
Printed prods.,2020,3743.443115,-2.404954241
Printed prods.,2025,3683.352051,-1.605235143
Printed prods.,2030,3429.856201,-6.882205288
Printed prods.,2035,3659.666992,6.700303964
Printed prods.,2040,3891.040283,6.322249853
Printed prods.,2045,4225.164551,8.587016408
Textiles/leather,2012,2343.886963,0
Textiles/leather,2013,2309.476318,-1.468101708
Textiles/leather,2014,2449.636719,6.068925638
Textiles/leather,2015,2441.524902,-0.331143649
Textiles/leather,2020,2270.878174,-6.989350318
Textiles/leather,2025,2068.296143,-8.920867424
Textiles/leather,2030,1907.122314,-7.792589504
Textiles/leather,2035,1805.135498,-5.347680934
Textiles/leather,2040,1714.893921,-4.999158082
Textiles/leather,2045,1655.154175,-3.483582592
Nonmetal min. prods.,2012,3000.401611,0
Nonmetal min. prods.,2013,3239.608154,7.972484152
Nonmetal min. prods.,2014,3387.564453,4.567104779
Nonmetal min. prods.,2015,3544.539063,4.633848641
Nonmetal min. prods.,2020,4182.665039,18.00307361
Nonmetal min. prods.,2025,4498.798828,7.558190439
Nonmetal min. prods.,2030,4819.227539,7.122539219
Nonmetal min. prods.,2035,5158.478516,7.03953017
Nonmetal min. prods.,2040,5488.049316,6.388914867
Nonmetal min. prods.,2045,5891.424805,7.350070399
Base metals,2012,19014.19141,0
Base metals,2013,20417.88281,7.382335521
Base metals,2014,20989.63281,2.800241363
Base metals,2015,20661.79297,-1.561913192
Base metals,2020,21676.04883,4.908847267
Base metals,2025,23584.76953,8.805667113
Base metals,2030,24838.66016,5.316526936
Base metals,2035,25932.42383,4.403472913
Base metals,2040,27003.68945,4.13098919
Base metals,2045,27929.23828,3.427490268
Articles-base metal,2012,12925.77441,0
Articles-base metal,2013,13278.45898,2.728537254
Articles-base metal,2014,13855.18262,4.343302438
Articles-base metal,2015,13964.03516,0.785644925
Articles-base metal,2020,15125.49316,8.317495586
Articles-base metal,2025,16595.07422,9.715921582
Articles-base metal,2030,17787.00586,7.182442362
Articles-base metal,2035,18897.625,6.243991537
Articles-base metal,2040,20252.88477,7.171587782
Articles-base metal,2045,21841.89453,7.845844106
Machinery,2012,29033.09766,0
Machinery,2013,29196.57617,0.563076381
Machinery,2014,30555.88281,4.65570563
Machinery,2015,31271.52148,2.342065115
Machinery,2020,36127.77734,15.5293239
Machinery,2025,41567.66797,15.05736313
Machinery,2030,46845.66406,12.69735915
Machinery,2035,52434.17578,11.92962429
Machinery,2040,58811.44922,12.1624367
Machinery,2045,66292.40625,12.72023922
Electronics,2012,19122.63086,0
Electronics,2013,19038.96094,-0.437543989
Electronics,2014,19507.11914,2.458948283
Electronics,2015,20538.95313,5.289525208
Electronics,2020,23409.25195,13.97490325
Electronics,2025,26279.50586,12.26119447
Electronics,2030,29140.99805,10.88868338
Electronics,2035,32060.94727,10.0200728
Electronics,2040,35180.80859,9.731032905
Electronics,2045,38545.76563,9.564751823
Motorized vehicles,2012,112925.2422,0
Motorized vehicles,2013,124880.6953,10.58705113
Motorized vehicles,2014,128540.1328,2.930346833
Motorized vehicles,2015,135468.2813,5.389871852
Motorized vehicles,2020,137630.3438,1.595991682
Motorized vehicles,2025,138677.5,0.760846934
Motorized vehicles,2030,139879.8906,0.867040886
Motorized vehicles,2035,139985.6719,0.075622914
Motorized vehicles,2040,139362.6094,-0.445090195
Motorized vehicles,2045,140585.6406,0.87758923
Transport equip.,2012,1567.646484,0
Transport equip.,2013,2328.648682,48.54424801
Transport equip.,2014,2462.547607,5.750069851
Transport equip.,2015,2564.171387,4.126774199
Transport equip.,2020,3205.10498,24.99573925
Transport equip.,2025,3711.116211,15.78766479
Transport equip.,2030,4411.76123,18.87963027
Transport equip.,2035,5430.608398,23.09388733
Transport equip.,2040,6511.578125,19.9051312
Transport equip.,2045,7408.614258,13.77601736
Precision instruments,2012,7621.797363,0
Precision instruments,2013,8252.435547,8.27413999
Precision instruments,2014,8832.727539,7.031766427
Precision instruments,2015,8976.326172,1.625756395
Precision instruments,2020,10544.59375,17.47115187
Precision instruments,2025,12301.57324,16.66237253
Precision instruments,2030,14128.95801,14.85488669
Precision instruments,2035,15730.26172,11.33348765
Precision instruments,2040,17304.31445,10.00652604
Precision instruments,2045,19582.37695,13.16470818
Furniture,2012,14249.64453,0
Furniture,2013,14793.42969,3.816131378
Furniture,2014,15723.64551,6.288033539
Furniture,2015,16297.78711,3.651453483
Furniture,2020,18559.05273,13.87467887
Furniture,2025,19587.0332,5.538970569
Furniture,2030,20271.85938,3.496324149
Furniture,2035,20687.5625,2.050641322
Furniture,2040,21120.99805,2.095150392
Furniture,2045,22216.24023,5.185560763
Misc. mfg. prods.,2012,11738.70801,0
Misc. mfg. prods.,2013,11929.89355,1.628676229
Misc. mfg. prods.,2014,12565.25781,5.325816655
Misc. mfg. prods.,2015,12864.72656,2.383307645
Misc. mfg. prods.,2020,13523.77637,5.122921202
Misc. mfg. prods.,2025,14223.64355,5.175086962
Misc. mfg. prods.,2030,14790.38379,3.984494073
Misc. mfg. prods.,2035,15392.14258,4.0685813
Misc. mfg. prods.,2040,16101.9502,4.611493258
Misc. mfg. prods.,2045,17363.74023,7.836256005
Waste/scrap,2012,2545.964111,0
Waste/scrap,2013,2625.794434,3.135563534
Waste/scrap,2014,2764.8125,5.294324058
Waste/scrap,2015,2780.45459,0.5657559
Waste/scrap,2020,3124.926514,12.38905052
Waste/scrap,2025,3345.279785,7.051470507
Waste/scrap,2030,3555.036865,6.270240265
Waste/scrap,2035,3772.308594,6.111658943
Waste/scrap,2040,4030.003662,6.831229788
Waste/scrap,2045,4306.019043,6.849010671
Mixed freight,2012,35642.25391,0
Mixed freight,2013,34337.11719,-3.661768198
Mixed freight,2014,36086.81641,5.095649729
Mixed freight,2015,35402.125,-1.897344999
Mixed freight,2020,38217.52344,7.952625549
Mixed freight,2025,39730.64844,3.95924399
Mixed freight,2030,41385.80078,4.165933376
Mixed freight,2035,43434.86719,4.951133885
Mixed freight,2040,46063.05469,6.05087035
Mixed freight,2045,49756.32031,8.017847818
