ID,Industry,Year,Workforce,Workforce MOE
6,Transportation & Warehousing,2014,613,141.8238344
7,Utilities,2014,268,91.43850392
8,Information,2014,1350,239.6330528
9,Finance & Insurance,2014,1302,236.019067
10,Real Estate & Rental & Leasing,2014,734,166.8112706
11,"Professional, Scientific, & Technical Services",2014,5704,472.2001694
12,Management of Companies & Enterprises,2014,31,35.4682957
13,Administrative & Support & Waste Management Services,2014,802,165.1241957
14,Educational Services,2014,20237,898.0656992
15,Health Care & Social Assistance,2014,8691,554.8116798
16,"Arts, Entertainment, & Recreation",2014,1015,223.0336298
17,Accommodation & Food Services,2014,4958,555.2089697
18,"Other Services, Except Public Administration",2014,2119,324.4271875
19,Public Administration,2014,879,174.6138597
0,"Agriculture, Forestry, Fishing & Hunting",2013,88,60.8358447
1,"Mining, Quarrying, & Oil & Gas Extraction",2013,5,26.83281573
2,Construction,2013,872,292.4824781
3,Manufacturing,2013,4224,439.2197628
4,Wholesale Trade,2013,583,182.7840256
5,Retail Trade,2013,4012,433.8502046
6,Transportation & Warehousing,2013,668,166.2347737
7,Utilities,2013,241,83.45058418
8,Information,2013,1446,238.9497855
9,Finance & Insurance,2013,1397,230.0543414
10,Real Estate & Rental & Leasing,2013,667,170.5813589
11,"Professional, Scientific, & Technical Services",2013,5418,413.3594078
12,Management of Companies & Enterprises,2013,19,29.06888371
13,Administrative & Support & Waste Management Services,2013,912,185.2700731
14,Educational Services,2013,19993,908.2956567
15,Health Care & Social Assistance,2013,8181,542.2333446
16,"Arts, Entertainment, & Recreation",2013,1229,287.8975512
17,Accommodation & Food Services,2013,4756,542.0747181
18,"Other Services, Except Public Administration",2013,2042,307.3759913
19,Public Administration,2013,846,174.0028735
